fecha,hora,id_hogar,consumo_kwh,temperatura_ext,region
2024-01-01,00:00,H001,1.23,8.2,Madrid
2024-01-01,01:00,H001,1.15,7.9,Madrid
2024-01-01,00:00,H002,0.95,9.1,Barcelona
2024-01-01,01:00,H002,0.88,8.7,Barcelona
2024-01-02,00:00,H001,1.35,7.5,Madrid
2024-01-02,01:00,H001,1.20,7.2,Madrid
2024-01-02,00:00,H002,1.05,8.3,Barcelona
2024-01-02,01:00,H002,0.97,7.8,Barcelona
2024-02-01,12:00,H003,2.10,15.2,Sevilla
2024-02-01,13:00,H003,2.45,15.8,Sevilla
2024-03-10,18:00,H004,0.78,12.4,Bilbao
2024-03-10,19:00,H004,0.83,12.0,Bilbao
2024-04-15,10:00,H005,1.90,18.3,Valencia
2024-04-15,11:00,H005,1.85,18.5,Valencia
2024-05-20,15:00,H006,2.75,22.1,Zaragoza
2024-05-20,16:00,H006,2.80,22.3,Zaragoza
